ProductID,WarehouseID,ProductSupplierID,Name,Type,Description,Weight,PackagingMaterial,Price
60,1,1,Tresemme Rich Moisture Rich Moisture Shampoo and Conditioner  28 oz  2 Count,Shampoo,|https://i5.walmartimages.com/asr/ae7a7e11-869c-4061-8104-7c97b5ca9644_1.49a96a0d2a0f1a1e3eb0ed392f0b33d0.jpeg?odnHeight=180odnWidth=180odnBg=FFFFFF,,Plastic,9.98
61,5,1,Suave Daily Clarifying Cleansing Shampoo 22.5 oz,Shampoo,|https://i5.walmartimages.com/asr/f0f07b15-a34b-4acc-a464-06ba08fa631a.19a945be7c78ef4ca0455e38f39a0c3f.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,1.94
62,0,1,LOreal Paris Elvive Total Repair 5 Repairing Shampoo and Conditioner Set  2 Piece Set,Shampoo,|https://i5.walmartimages.com/asr/b44466c3-64a1-4cea-bbe6-83d7f1dd2301.421cfec140cbdde7b4ae20cd992714a7.png?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,7.97
63,0,1,Aussie Miracle Moist Shampoo and Conditioner Hair Set  26.2 fl oz,Shampoo,|https://i5.walmartimages.com/asr/2bdbf94b-c399-4ce3-a22a-3e12250b04ed.bbbe2fd4f6efc1a9341f52c51d2cc700.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,13.47
64,3,1,Tresemme Rich Moisture Hydrating Shampoo with Pump  39 oz,Shampoo,|https://i5.walmartimages.com/asr/559b3994-f9ad-45f1-a000-5ccf3ceb2805.ba0420250e4871f3b3d3cf76ac8adbb5.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,7.98
65,2,1,Alberto VO5 Moisture Milks Strawberries amp; Cream Moisturizing Hair Shampoo  15 fl oz,Shampoo,|https://i5.walmartimages.com/asr/85bde102-9aa8-432f-9050-c3cb3a9356b5.7df1d5b7f90f1b277d60480a28cf358c.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,1.12
66,1,1,Suave Tropical Coconut Nourishing Shampoo 22.5 fl oz,Shampoo,|https://i5.walmartimages.com/asr/555af473-99d7-4f99-bc1f-e944c577d8ba.3d3a1f70f2076148e178b1d559b6d25b.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,1.94
67,5,1,Garnier Fructis Grow Strong Fortifying Shampoo with Ceramide and Apple Extract  12.5 fl oz,Shampoo,|https://i5.walmartimages.com/asr/f263e53d-9bd6-46df-b118-dadbf6f70f8b.c7632a95a5c07919654380dec516348e.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,3.47
68,1,1,4U by Tia Moisturizing Shampoo with Watermelon and Hemi15  13 fl oz,Shampoo,|https://i5.walmartimages.com/asr/5ba7325b-ff03-4977-be3a-5e641bc6a509.a701cb0f2a484a09f7ed431fcc2c6adb.jpeg?odnHeight=180odnWidth=180odnBg=FFFFFF,,Plastic,10.47
69,5,1,4U by Tia Clarifying Shampoo with Apple Cider Vinegar and Hemi15  13 fl oz,Shampoo,|https://i5.walmartimages.com/asr/e5734fbf-03be-4c20-9c16-90695c6c2b4a.206ea51973f3e44379a525662664c48b.jpeg?odnHeight=180odnWidth=180odnBg=FFFFFF,,Plastic,10.47
